caso id, Timestamp de inicio, Timestamp de finalizacion ,Actividad,Recurso,Rol
339,2011/02/16 14:31:00.000,2011/02/16 15:23:00.000,Crear solicitud de compra,Nico Ojenbeer,Solicitante
339,2011/02/17 09:34:00.000,2011/02/17 09:40:00.000,Analizar solicitud de compra,Maris Freeman,Gerente Del Solicitante
339,2011/02/17 21:29:00.000,2011/02/17 21:52:00.000,Modificar solicitud de compra,Elvira Lores,Solicitante
339,2011/02/18 17:24:00.000,2011/02/18 17:30:00.000,Analizar solicitud de compra,Heinz Gutschmidt,Gerente Del Solicitante
339,2011/02/18 17:36:00.000,2011/02/18 17:38:00.000,Crear Solicitud De Cotizacion Para El Gerente Del Solicitante,Francis Odell,Gerente Del Solicitante
339,2011/02/22 09:34:00.000,2011/02/22 09:58:00.000,Analizar La Solicitud De Cotizacion,Magdalena Predutta,Agente De Compras
339,2011/02/22 10:50:00.000,2011/02/22 11:03:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Penn Osterwalder,Gerente Del Solicitante
339,2011/02/28 08:10:00.000,2011/02/28 08:34:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
940,2011/05/17 06:31:00.000,2011/05/17 07:08:00.000,Crear solicitud de compra,Immanuel Karagianni,Solicitante
940,2011/05/17 09:58:00.000,2011/05/17 10:06:00.000,Crear Solicitud De Cotizacion Del Solicitante,Esmana Liubiata,Solicitante
940,2011/05/18 19:30:00.000,2011/05/18 19:56:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
940,2011/05/18 23:46:00.000,2011/05/18 23:59:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Magdalena Predutta,Agente De Compras
940,2011/05/19 03:44:00.000,2011/05/19 08:31:00.000,Crear El Mapa De Comparacion De Cotizaciones,Francois de Perrier,Agente De Compras
940,2011/05/19 15:38:00.000,2011/05/19 15:52:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Kim Passa,Solicitante
940,2011/05/19 15:52:00.000,2011/05/19 15:52:00.000,Elige La Mejor Opcion,Anna Kaufmann,Solicitante
940,2011/05/20 23:31:00.000,2011/05/21 09:22:00.000,Resolver Condiciones Con El Proveedor,Magdalena Predutta,Agente De Compras
940,2011/05/21 18:48:00.000,2011/05/21 18:59:00.000,Crear Orden De Compra,Francois de Perrier,Agente De Compras
940,2011/05/22 11:33:00.000,2011/05/22 11:44:00.000,Confirmar Orden De Compra,Esmeralda Clay,Proveedor
940,2011/05/23 05:32:00.000,2011/05/24 13:46:00.000,Entrega De Bienes O Servicios,Esmeralda Clay,Proveedor
940,2011/05/24 20:59:00.000,2011/05/24 21:00:00.000,Liberar Orden De Compra,Kim Passa,Solicitante
940,2011/05/26 07:41:00.000,2011/05/26 07:42:00.000,Approve Purchase Order for payment,Karel de Groot,Agente De Compras
940,2011/05/28 01:11:00.000,2011/05/28 01:11:00.000,Enviar La Factura,Kiu Kan,Proveedor
940,2011/05/28 15:28:00.000,2011/05/28 15:28:00.000,Autorizar El Pago De La Factura Del Proveedor,Pedro Alvares,Gerente Financiero
940,2011/05/28 16:11:00.000,2011/05/28 16:19:00.000,Pagar La Factura,Karalda Nimwada,Gerente Financiero
1417,2011/07/23 12:53:00.000,2011/07/23 13:31:00.000,Crear solicitud de compra,Christian Francois,Solicitante
1417,2011/07/23 17:51:00.000,2011/07/23 17:59:00.000,Crear Solicitud De Cotizacion Del Solicitante,Immanuel Karagianni,Solicitante
1417,2011/08/02 07:02:00.000,2011/08/02 07:24:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
1417,2011/08/02 08:17:00.000,2011/08/02 08:27:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Anna Kaufmann,Gerente Del Solicitante
1417,2011/08/08 04:03:00.000,2011/08/08 04:23:00.000,Analizar La Solicitud De Cotizacion,Magdalena Predutta,Agente De Compras
159,2011/01/21 15:02:00.000,2011/01/21 15:42:00.000,Crear solicitud de compra,Elvira Lores,Solicitante
159,2011/01/22 02:58:00.000,2011/01/22 03:05:00.000,Analizar solicitud de compra,Francis Odell,Gerente Del Solicitante
159,2011/01/22 03:11:00.000,2011/01/22 03:14:00.000,Crear Solicitud De Cotizacion Para El Gerente Del Solicitante,Maris Freeman,Gerente Del Solicitante
159,2011/01/23 03:45:00.000,2011/01/23 03:59:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
159,2011/01/23 04:48:00.000,2011/01/23 04:54:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Christian Francois,Gerente Del Solicitante
159,2011/01/23 06:20:00.000,2011/01/23 06:36:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
159,2011/01/23 07:31:00.000,2011/01/23 07:43:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Miu Hanwan,Gerente Del Solicitante
159,2011/01/25 23:12:00.000,2011/01/25 23:38:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
159,2011/01/27 05:39:00.000,2011/01/27 06:07:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Magdalena Predutta,Agente De Compras
159,2011/01/27 10:59:00.000,2011/01/27 12:45:00.000,Crear El Mapa De Comparacion De Cotizaciones,Karel de Groot,Agente De Compras
159,2011/01/27 19:17:00.000,2011/01/27 19:37:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Elvira Lores,Solicitante
159,2011/01/27 19:37:00.000,2011/01/27 19:37:00.000,Elige La Mejor Opcion,Kim Passa,Solicitante
